latitude,longitude,date,county,state
39.650992,-108.693109,12/9/2004,Garfield County,Colorado
41.80475,-115.662451,7/30/2015,Elko County,Nevada
27.7830535,-80.801522,10/13/1989,Indian River County,Florida
30.2989985,-100.682429,8/7/1993,Sutton County,Texas
46.3092635,-86.684042,4/23/1992,Alger County,Michigan
33.8698745,-115.071393,11/23/1985,Riverside County,California
36.802315,-95.436176,1/28/2021,Nowata County,Oklahoma
34.6236565,-94.542127,12/31/2022,Le Flore County,Oklahoma
43.682335,-94.973662,12/3/2012,Jackson County,Minnesota
40.304907,-111.939732,4/7/2020,Utah County,Utah
35.4299365,-116.05836,3/23/1995,San Bernardino County,California
36.9068005,-91.312452,3/1/2021,Shannon County,Missouri
43.997058,-111.570865,9/3/2017,Fremont County,Idaho
39.8682645,-76.151978,10/11/1993,Lancaster County,Pennsylvania
34.836603,-89.313261,5/1/2016,Marshall County,Mississippi
33.225526,-107.277171,3/2/1989,Sierra County,New Mexico
27.533816,-110.301194,5/17/2008,Guaymas,Sonora
27.0977875,-105.053004,7/24/1996,López,Chihuahua
34.3328375,-107.400881,3/17/2009,Socorro County,New Mexico
40.10924,-99.719547,11/29/2020,Furnas County,Nebraska
36.2057935,-83.205338,10/26/1994,Hamblen County,Tennessee
28.036527,-103.060818,1/2/2004,Ocampo,Coahuila
45.7146415,-89.306085,4/15/1985,Oneida County,Wisconsin
39.343137,-82.956468,6/2/1991,Ross County,Ohio
40.5613795,-101.926679,8/25/1990,Chase County,Nebraska
34.488972,-114.469601,9/16/2006,San Bernardino County,California
27.027089,-113.641327,3/3/1995,Municipio de Mulegé,Baja California Sur
40.2736345,-109.764903,9/28/2013,Uintah County,Utah
28.241622,-82.520944,11/30/2003,Pasco County,Florida
45.7233005,-100.498204,2/3/2020,Corson County,South Dakota
43.4209695,-96.576547,4/12/2010,Lincoln County,South Dakota
31.4578775,-83.898901,8/10/2017,Worth County,Georgia
29.2233255,-90.742796,6/8/2017,Terrebonne Parish,Louisiana
29.130921,-97.017125,11/5/2009,DeWitt County,Texas
30.9495,-86.822486,7/18/1994,Santa Rosa County,Florida
40.1166885,-78.569633,9/3/2016,Bedford County,Pennsylvania
36.003647,-103.820178,3/7/1990,Harding County,New Mexico
35.9355415,-120.939753,12/17/2003,Monterey County,California
36.243427,-95.620235,6/21/2009,Rogers County,Oklahoma
29.9410335,-98.398596,11/23/1994,Comal County,Texas
26.148655,-103.605212,4/3/2023,Tlahualilo,Durango
39.7839135,-88.467624,5/27/2012,Douglas County,Illinois
41.080005,-87.220179,6/16/2010,Jasper County,Indiana
26.0315945,-108.872349,7/20/2007,El Fuerte,Sinaloa
44.5354295,-74.637919,11/7/2006,Saint Lawrence County,New York
30.175356,-98.127418,8/28/2006,Hays County,Texas
38.6914355,-87.255134,8/20/2012,Daviess County,Indiana
41.8542285,-113.141138,11/9/2015,Box Elder County,Utah
37.540974,-101.659926,4/28/1995,Stanton County,Kansas
38.997616,-86.847632,6/19/2019,Greene County,Indiana
40.954055,-105.928416,10/31/2008,Larimer County,Colorado
41.778872,-114.876594,1/8/1992,Elko County,Nevada
43.8817005,-96.77642,5/26/1991,Moody County,South Dakota
45.7380125,-77.445085,1/1/1990,Renfrew County,Ontario
28.0738035,-109.837073,6/24/2000,Cajeme,Sonora
26.0926035,-98.313906,1/13/1985,Reynosa,Tamaulipas
41.7604515,-107.764705,2/7/2009,Sweetwater County,Wyoming
38.392971,-76.442749,6/28/2014,Calvert County,Maryland
39.2154145,-122.528728,7/31/1988,Colusa County,California
36.696777,-77.640918,9/4/2010,Greensville County,Virginia
32.580826,-114.083124,2/1/2024,Yuma County,Arizona
42.523404,-93.835301,4/26/2000,Hamilton County,Iowa
31.189822,-81.578565,6/23/2013,Glynn County,Georgia
34.9689005,-82.728257,7/29/1989,Pickens County,South Carolina
36.7451785,-90.854219,1/13/2010,Ripley County,Missouri
29.8809485,-104.146668,12/20/1994,Presidio County,Texas
43.643288,-84.453493,6/3/1990,Midland County,Michigan
43.0588795,-75.462214,7/5/2008,Oneida County,New York
44.960037,-76.188076,1/2/2010,Lanark County,Ontario
43.8596135,-102.798322,12/5/2020,Pennington County,South Dakota
38.2699795,-84.42519,7/29/1999,Bourbon County,Kentucky
46.998134,-88.686633,6/1/2002,Houghton County,Michigan
32.798038,-108.101082,9/26/2008,Grant County,New Mexico
29.5818625,-89.969661,8/24/2004,Plaquemines Parish,Louisiana
35.4015415,-117.673099,3/9/1988,Kern County,California
39.660673,-122.994322,9/15/2003,Mendocino County,California
44.21521,-72.802669,5/26/2020,Washington County,Vermont
35.6444745,-115.394993,11/18/2016,Clark County,Nevada
33.314779,-93.545097,3/18/2001,Lafayette County,Arkansas
39.7794725,-93.649787,2/21/2002,Livingston County,Missouri
44.786905,-120.038472,3/22/1998,Wheeler County,Oregon
29.7787935,-102.497302,7/31/2022,Acuña,Coahuila
46.223374,-99.788746,1/4/1993,McIntosh County,North Dakota
42.507847,-112.563172,10/6/2012,Power County,Idaho
34.12099,-114.63845,3/19/2024,San Bernardino County,California
40.53903,-75.558489,2/11/2000,Lehigh County,Pennsylvania
42.592548,-119.72461,6/8/2006,Lake County,Oregon
26.829094,-102.902359,6/16/2014,Cuatro Ciénegas,Coahuila
30.300394,-106.06485,7/4/1999,Ahumada,Chihuahua
41.2691055,-101.985471,11/24/1986,Keith County,Nebraska
44.953439,-94.570966,5/15/2023,Meeker County,Minnesota
26.8593515,-97.528096,6/19/2001,Kenedy County,Texas
43.4311745,-99.264816,11/3/2015,Gregory County,South Dakota
29.1694795,-96.708622,10/16/1989,Jackson County,Texas
31.068791,-83.607729,10/9/2002,Colquitt County,Georgia
30.9017635,-115.462329,7/24/1997,Municipio de Ensenada,Baja California
30.252894,-105.863996,7/1/2010,Ahumada,Chihuahua
44.467933,-111.029962,12/17/1991,Teton County,Wyoming
36.6195565,-90.745188,12/25/2018,Ripley County,Missouri
37.839354,-98.306223,4/29/2020,Reno County,Kansas
32.7884615,-111.558235,8/21/2011,Pinal County,Arizona
37.798786,-121.996894,8/26/1990,Contra Costa County,California
40.916818,-82.52306,2/20/2016,Richland County,Ohio
43.551592,-106.486167,8/23/1990,Johnson County,Wyoming
31.799679,-85.227377,6/16/1987,Barbour County,Alabama
31.9577455,-91.095321,6/13/2014,Claiborne County,Mississippi
27.7440515,-100.561272,2/26/1987,Juárez,Coahuila
32.9028515,-79.976882,1/30/2022,Charleston County,South Carolina
36.057647,-89.919824,8/28/1995,Pemiscot County,Missouri
45.7135535,-72.885636,8/22/2020,Les Maskoutains,Quebec
26.6871155,-104.891525,1/5/2008,Coronado,Chihuahua
44.1945455,-118.013292,9/26/2021,Malheur County,Oregon
46.1897355,-108.946423,8/9/1986,Golden Valley County,Montana
31.1172535,-103.764862,12/21/1994,Reeves County,Texas
39.4288585,-94.466033,10/17/1989,Clay County,Missouri
34.391919,-79.328385,4/17/2006,Dillon County,South Carolina
36.6635175,-85.215578,9/18/1984,Clinton County,Kentucky
46.580526,-90.71133,6/11/1990,Ashland County,Wisconsin
44.363252,-112.112856,6/19/2012,Clark County,Idaho
46.0474715,-78.47429,5/19/2007,Nipissing District,Ontario
33.776017,-92.523312,4/14/2024,Calhoun County,Arkansas
42.505818,-75.046516,12/26/2011,Otsego County,New York
42.309772,-70.817094,1/17/2020,Plymouth County,Massachusetts
41.6908105,-87.289866,6/25/1996,Lake County,Indiana
31.629991,-96.337642,9/13/2007,Freestone County,Texas
39.240412,-84.222583,11/28/1989,Clermont County,Ohio
36.245129,-114.424077,7/23/2002,Clark County,Nevada
40.6270165,-121.453662,7/29/1992,Shasta County,California
32.8371835,-94.821962,9/25/2008,Upshur County,Texas
35.011625,-79.427402,2/7/2004,Hoke County,North Carolina
46.439024,-72.110225,5/17/2021,Bécancour (MRC),Quebec
36.791848,-119.292426,3/24/2017,Fresno County,California
40.758637,-96.358387,12/11/2019,Otoe County,Nebraska
39.7494445,-101.578976,5/20/2018,Cheyenne County,Kansas
37.258068,-107.092921,12/30/2016,Archuleta County,Colorado
45.6487865,-98.029133,5/10/2008,Brown County,South Dakota
45.519761,-93.060441,9/1/1993,Isanti County,Minnesota
42.0712825,-89.192362,1/31/1989,Ogle County,Illinois
43.1718585,-92.97216,9/30/2004,Floyd County,Iowa
38.20946,-85.803595,10/19/1991,Jefferson County,Kentucky
29.886963,-104.384829,8/31/1984,Presidio County,Texas
34.339312,-101.898633,5/20/2021,Swisher County,Texas
46.4148815,-115.437166,9/30/2008,Idaho County,Idaho
37.232251,-94.008565,5/25/2022,Lawrence County,Missouri
45.292897,-123.981813,4/13/2020,Tillamook County,Oregon
37.3082995,-94.914091,1/25/1999,Cherokee County,Kansas
39.4024295,-110.025057,1/20/2015,Emery County,Utah
45.6845115,-92.081987,6/17/2005,Burnett County,Wisconsin
32.7412075,-113.708436,2/13/1994,Yuma County,Arizona
38.683568,-109.627912,9/2/2009,Grand County,Utah
42.2143055,-97.264703,2/3/2010,Wayne County,Nebraska
26.379073,-104.290048,9/16/2017,Mapimí,Durango
30.9061825,-83.229514,2/7/2021,Lowndes County,Georgia
45.657836,-76.221435,12/25/1990,Les Collines-de-l'Outaouais,Quebec
31.6644995,-82.7015,9/28/2011,Coffee County,Georgia
43.7782165,-110.888124,3/14/1988,Teton County,Wyoming
45.2939755,-102.179639,8/18/2001,Perkins County,South Dakota
41.791859,-105.974516,2/8/2016,Albany County,Wyoming
38.447189,-112.475631,5/15/2005,Piute County,Utah
35.2193565,-80.067156,1/20/2001,Montgomery County,North Carolina
33.4043005,-80.826002,2/3/1997,Orangeburg County,South Carolina
28.703403,-110.66193,6/29/2020,La Colorada,Sonora
41.183996,-97.357603,10/1/2002,Butler County,Nebraska
46.1005965,-111.416195,4/7/1999,Broadwater County,Montana
39.7079235,-76.59931,7/27/2005,Baltimore County,Maryland
28.9107415,-106.042764,6/12/2020,Aldama,Chihuahua
39.0685075,-98.588156,10/24/2001,Russell County,Kansas
33.6014935,-109.839748,3/12/2014,Apache County,Arizona
41.664982,-103.113841,4/30/1994,Morrill County,Nebraska
28.869275,-101.554919,7/23/1996,Zaragoza,Coahuila
39.4206515,-93.114666,6/28/1996,Chariton County,Missouri
33.149121,-98.686025,7/4/2011,Young County,Texas
42.893074,-124.439562,2/28/2017,Curry County,Oregon
42.2937045,-118.00334,1/27/1989,Malheur County,Oregon
32.040738,-104.495987,10/20/1989,Eddy County,New Mexico
34.1830525,-81.579091,10/13/1994,Newberry County,South Carolina
37.9449415,-120.804621,12/11/1986,Stanislaus County,California
35.7811715,-99.160935,6/14/2019,Custer County,Oklahoma
38.5585505,-89.511813,11/26/2018,Clinton County,Illinois
41.0329515,-98.829802,6/22/2008,Buffalo County,Nebraska
43.466267,-106.113386,2/26/1988,Natrona County,Wyoming
43.338921,-94.532597,2/26/2016,Emmet County,Iowa
30.2964375,-90.264069,2/20/2021,Tangipahoa Parish,Louisiana
34.0491705,-115.50652,8/9/1997,San Bernardino County,California
38.8529165,-91.196583,11/9/2013,Warren County,Missouri
34.843602,-104.370656,5/18/1999,Guadalupe County,New Mexico
40.8029295,-119.084922,12/21/2014,Pershing County,Nevada
42.497219,-106.049461,4/14/2004,Converse County,Wyoming
26.4968935,-98.772607,8/7/1985,Starr County,Texas
45.9197215,-114.905374,6/11/1993,Idaho County,Idaho
34.7779495,-82.420544,6/23/1992,Greenville County,South Carolina
32.094911,-94.619533,10/21/1985,Rusk County,Texas
37.2551,-101.333531,1/9/2019,Stevens County,Kansas
41.872547,-95.05835,2/17/2018,Carroll County,Iowa
39.432615,-121.536183,11/11/1995,Butte County,California
32.4356675,-91.497971,1/2/2019,Richland Parish,Louisiana
46.163583,-92.430409,1/9/2023,Pine County,Minnesota
39.258268,-85.210836,5/3/2023,Ripley County,Indiana
36.347225,-80.086057,1/9/2024,Stokes County,North Carolina
37.2052435,-110.331053,2/14/1996,San Juan County,Utah
34.5324225,-117.172109,9/1/2018,San Bernardino County,California
37.167579,-118.865355,10/13/2004,Fresno County,California
40.741401,-102.984172,10/20/2004,Logan County,Colorado
29.3414215,-83.151552,8/19/2003,Dixie County,Florida
37.7095765,-101.587076,11/5/2001,Stanton County,Kansas
40.4994735,-114.142367,3/1/2016,Elko County,Nevada
44.580005,-104.569585,7/31/2013,Crook County,Wyoming
31.8221025,-111.626083,5/10/1998,Pima County,Arizona
37.6006485,-89.371004,8/22/2020,Jackson County,Illinois
32.780534,-109.603642,2/18/1987,Graham County,Arizona
39.35912,-109.805526,11/4/2002,Grand County,Utah
45.8345725,-80.068999,8/22/1993,Parry Sound District,Ontario
30.712991,-108.157232,8/8/1990,Janos,Chihuahua
30.119174,-102.268453,7/17/1992,Terrell County,Texas
33.692881,-115.597321,2/20/1995,Riverside County,California
44.7046025,-70.716356,1/31/2019,Oxford County,Maine
46.893279,-119.516456,12/4/2000,Grant County,Washington
28.3127115,-96.981151,6/20/2012,Refugio County,Texas
33.248464,-105.410912,1/9/2006,Otero County,New Mexico
43.669993,-73.956277,11/4/2006,Warren County,New York
45.433488,-101.167205,5/2/2019,Dewey County,South Dakota
35.9737455,-102.448038,3/29/2013,Hartley County,Texas
34.604175,-96.318573,1/13/2024,Coal County,Oklahoma
38.95828,-104.486822,2/27/2001,El Paso County,Colorado
29.986326,-104.132507,8/15/2003,Presidio County,Texas
31.343612,-82.133893,7/5/2008,Pierce County,Georgia
37.54566,-100.959816,7/23/1987,Haskell County,Kansas
35.3769515,-94.244541,11/1/1989,Crawford County,Arkansas
46.76061,-110.321705,1/2/2013,Judith Basin County,Montana
43.460876,-112.708708,6/26/2018,Bingham County,Idaho
43.108161,-109.171066,1/9/2001,Fremont County,Wyoming
32.6291955,-106.017678,11/23/2007,Otero County,New Mexico
31.6063995,-87.551951,7/10/1995,Monroe County,Alabama
29.854792,-99.087872,4/3/2010,Bandera County,Texas
40.2208445,-97.482916,2/11/2012,Thayer County,Nebraska
44.897244,-89.215532,5/23/2001,Shawano County,Wisconsin
45.0527335,-88.183878,4/16/1994,Oconto County,Wisconsin
35.6478555,-107.533081,1/11/1988,McKinley County,New Mexico
29.6679085,-111.746787,3/24/2021,Pitiquito,Sonora
33.587532,-111.118531,7/30/2000,Maricopa County,Arizona
31.049791,-100.053696,6/20/2007,Menard County,Texas
41.4756575,-104.884192,7/29/2006,Laramie County,Wyoming
29.215078,-96.12307,9/19/2017,Wharton County,Texas
36.8634965,-91.203513,12/13/2008,Carter County,Missouri
30.250042,-112.774481,9/26/2005,Caborca,Sonora
40.9736205,-111.935613,11/25/1996,Davis County,Utah
35.9314625,-117.036799,9/27/2002,Inyo County,California
30.1942185,-114.985645,2/1/2005,Municipio de San Quintín,Baja California
40.805476,-121.777536,11/20/2005,Shasta County,California
36.007725,-94.336118,4/6/2008,Washington County,Arkansas
39.5212745,-75.782524,9/22/2007,Cecil County,Maryland
45.9134855,-79.652198,4/10/2015,Parry Sound District,Ontario
34.2716785,-93.202771,3/23/2017,Clark County,Arkansas
46.7073385,-107.46125,11/16/2006,Rosebud County,Montana
40.081416,-107.79602,4/30/2013,Rio Blanco County,Colorado
35.3778105,-109.069787,8/20/1993,Apache County,Arizona
32.1293825,-101.309606,6/12/2005,Howard County,Texas
43.271311,-91.225258,4/27/2008,Allamakee County,Iowa
31.400829,-81.860403,1/20/2023,Wayne County,Georgia
45.135351,-99.323262,9/26/2018,Faulk County,South Dakota
28.2940945,-113.754571,11/22/2017,Municipio de San Quintín,Baja California
40.3252815,-86.929928,6/26/1993,Tippecanoe County,Indiana
32.898818,-112.963802,8/7/2013,Maricopa County,Arizona
43.78898,-76.271351,4/1/2002,Jefferson County,New York
42.4871435,-89.342045,2/15/1998,Winnebago County,Illinois
45.1876125,-123.639337,4/23/2019,Yamhill County,Oregon
36.5248525,-103.625953,12/31/2007,Union County,New Mexico
34.1654485,-100.632006,9/14/2012,Motley County,Texas
27.699053,-101.149052,9/18/2010,Sabinas,Coahuila
31.3927425,-82.40733,1/22/2021,Pierce County,Georgia
44.4867795,-119.501225,7/12/1996,Grant County,Oregon
36.6094075,-121.99876,7/7/2006,Monterey County,California
33.0221335,-108.989105,11/30/2015,Grant County,New Mexico
34.2142535,-92.893966,9/9/2006,Hot Spring County,Arkansas
41.4528815,-118.153891,4/10/2007,Humboldt County,Nevada
38.875573,-99.103008,11/22/2003,Ellis County,Kansas
28.2036695,-97.249107,6/4/2013,Refugio County,Texas
42.7773735,-100.983075,11/26/2022,Cherry County,Nebraska
45.0334985,-74.646639,2/16/2009,"Stormont, Dundas and Glengarry Counties",Ontario
28.3990315,-100.038558,7/11/2019,Dimmit County,Texas
34.205438,-104.08524,9/1/1987,De Baca County,New Mexico
42.744937,-114.256302,5/11/2010,Jerome County,Idaho
37.359242,-91.954678,12/23/2008,Texas County,Missouri
35.395518,-91.270399,4/19/1991,Woodruff County,Arkansas
40.448772,-95.633968,10/25/2001,Atchison County,Missouri
39.6341945,-110.552091,7/12/2008,Carbon County,Utah
40.8863145,-73.446987,9/4/2005,Suffolk County,New York
36.0472145,-84.599565,6/13/2000,Morgan County,Tennessee
39.68908,-80.03095,3/27/2012,Monongalia County,West Virginia
38.2727985,-102.514412,7/31/2002,Kiowa County,Colorado
46.4789265,-77.799567,11/10/1988,Témiscamingue,Quebec
30.2571955,-111.638423,1/11/1992,Trincheras,Sonora
46.5780955,-94.947502,2/1/1993,Wadena County,Minnesota
38.6335135,-98.922588,10/19/2003,Barton County,Kansas
45.183633,-99.720071,1/3/2018,Potter County,South Dakota
44.5932025,-97.259018,10/5/2002,Hamlin County,South Dakota
40.871694,-122.577342,7/11/1985,Shasta County,California
36.1560485,-88.12609,5/20/2007,Benton County,Tennessee
43.761337,-72.950286,1/31/2022,Rutland County,Vermont
44.765574,-108.721441,7/28/2004,Park County,Wyoming
41.325442,-98.323856,1/18/1999,Howard County,Nebraska
43.9462705,-95.093264,8/2/2006,Cottonwood County,Minnesota
43.992749,-100.674434,9/9/2005,Jones County,South Dakota
37.0488675,-97.176354,2/1/2003,Sumner County,Kansas
43.7287535,-91.644624,3/8/2007,Houston County,Minnesota
30.774164,-96.292,2/26/2000,Brazos County,Texas
44.236754,-91.717915,12/15/1987,Buffalo County,Wisconsin
39.6952215,-80.4137,9/17/2017,Wetzel County,West Virginia
39.8029885,-108.400134,1/10/1990,Rio Blanco County,Colorado
36.1521135,-121.537314,7/30/2005,Monterey County,California
37.0045525,-82.460067,10/29/1986,Wise County,Virginia
30.323996,-84.281102,12/27/1991,Leon County,Florida
42.107882,-112.057617,4/1/2020,Franklin County,Idaho
27.4138825,-108.3235,9/16/2000,Guazapares,Chihuahua
36.207325,-98.94694,7/11/1985,Major County,Oklahoma
40.0653115,-84.1398,12/5/2005,Miami County,Ohio
44.2949635,-100.475379,3/11/1992,Stanley County,South Dakota
43.5926605,-105.084762,7/25/2001,Campbell County,Wyoming
37.000515,-106.496227,6/28/2022,Archuleta County,Colorado
33.2070665,-116.691004,11/12/1997,San Diego County,California
29.844421,-81.472455,10/11/2007,Saint Johns County,Florida
32.672388,-94.541407,2/2/2017,Harrison County,Texas
40.2854445,-105.939997,7/28/2009,Grand County,Colorado
39.5890815,-84.794264,2/14/2024,Preble County,Ohio
29.2366665,-94.796245,4/20/2007,Galveston County,Texas
28.7804305,-96.945141,3/12/2006,Victoria County,Texas
44.204715,-71.045715,6/15/1999,Carroll County,New Hampshire
30.959658,-94.728857,9/23/1988,Polk County,Texas
35.8700205,-77.158301,6/7/2015,Martin County,North Carolina
36.0460705,-89.572125,2/19/2022,Dyer County,Tennessee
37.0353485,-110.354804,3/24/2021,San Juan County,Utah
38.800661,-104.203471,7/4/2017,El Paso County,Colorado
40.939343,-112.628941,8/28/2003,Tooele County,Utah
28.780049,-80.791884,5/15/2015,Brevard County,Florida
42.3894165,-119.636835,4/7/2002,Lake County,Oregon
39.825242,-109.712829,11/28/1995,Uintah County,Utah
36.0041575,-75.584244,9/29/1988,Dare County,North Carolina
41.404095,-99.175391,5/11/2021,Valley County,Nebraska
42.5547425,-107.887475,2/4/2011,Fremont County,Wyoming
35.480505,-78.707625,10/16/2010,Harnett County,North Carolina
34.289127,-78.208637,4/23/1991,Columbus County,North Carolina
34.9766515,-104.502221,9/5/2002,Guadalupe County,New Mexico
33.10949,-113.543046,2/13/2020,Yuma County,Arizona
34.0335595,-109.496006,9/11/2001,Apache County,Arizona
44.459066,-74.327763,3/31/2000,Franklin County,New York
32.2309285,-82.569759,12/18/2013,Montgomery County,Georgia
43.313616,-89.595632,9/20/2001,Columbia County,Wisconsin
43.153938,-122.548268,8/3/2019,Douglas County,Oregon
45.8926425,-81.273563,11/18/2009,Sudbury District,Ontario
26.981627,-105.679813,4/18/2001,Hidalgo del Parral,Chihuahua
46.697024,-99.636671,11/6/1990,Kidder County,North Dakota
40.643897,-124.130663,3/25/1994,Humboldt County,California
31.6954015,-82.307308,7/25/2022,Appling County,Georgia
36.4146655,-93.779488,1/8/1989,Carroll County,Arkansas
